,id,label,n_tweets,n_mentions,country
821,3341,brayan_t1098,1,0, Panama
822,3357,clofalacriss,2,0, USA
823,3373,albertkader,4,0, France
824,3374,bohobogan,1,0, Australia
825,3382,war_wolfy,1,0, France
826,3388,paddyobrian86,4,4, UK
827,3395,monicalova13,1,0,France
828,3411,sean_mccloskeyy,1,0, Canada
829,3412,thewallanja,1,0, Philippines
830,3417,shaddaypolony,1,0, Canada
831,3429,moninabuhain,1,0, United States
832,3430,skyprincesslexa,5,0, France
833,3436,fredk97457565,2,0, USA
834,3450,suzielphi_suzie,1,0, USA
835,3458,carmeloyoko,1,0, South Africa
836,3478,philoaesthetic,1,0, Poland
838,3482,goldnite1,0,21, USA
846,3484,trinity999999,1,0, Spain
847,3489,pornvrin,1,0, USA
848,3507,katyakerina,1,0, Russia
849,3515,manxiouslife,3,2, UK
851,3530,bmiddleton51,1,0, Canada
852,3536,sujinunjira,1,0,Thailand
853,3538,hentor,1,0, Canada
854,3539,mobinfiltrator,1,6, Canada
855,3541,puzzlo,1,13, Peru
856,3547,claudia_mutti,1,0, Italy
857,3552,allofthewoods23,1,0,Philippines
858,3556,keithboom1,1,0, USA
859,3558,batosaur,1,0, USA
860,3561,maooamaoam,2,0, Japan
861,3562,xiungs,1,0, USA
862,3571,amusejanetmason,7,2, USA
865,3593,notcoolrafa,2,0, Canada
866,3595,acqrey,1,0, USA
867,3599,weird__autumn,1,0, USA
868,3606,rcmdbargo,1,0, Philippines
869,3610,naranciedades,2,0,Brazil
870,3611,ocdemparty,3,0, USA
871,3633,misheleneous,1,2, UK
872,3647,negative_purple,1,0, USA
873,3648,mysticwiki,1,0, USA
874,3651,stephmcl,1,0, USA
875,3655,rosefo38,2,0, UK
876,3658,charliemichaelc,1,0, USA
877,3671,symposio,2,0, Greece
878,3680,johnglynnbooks,2,2, USA
879,3686,carlosrvargasc,1,0, Mexico
880,3687,afstrom,2,0, USA
881,3697,livia_cxx,1,0, UK
882,3699,marievioleta39,1,0, USA
883,3708,kimmandhlazi,1,0, USA
884,3715,gabimartinez___,1,0, Paraguay
885,3719,wench25,2,1, UK
