,from, to, weight, directed
773,986,95,1,True
774,987,988,1,True
775,989,611,1,True
776,990,956,1,True
777,991,992,1,True
778,991,993,1,True
779,316,790,1,True
780,316,718,1,True
781,994,734,1,True
782,994,735,1,True
783,994,736,1,True
784,995,996,1,True
785,997,998,1,True
786,999,55,1,True
787,999,56,1,True
788,999,57,1,True
789,999,58,1,True
790,999,59,1,True
791,999,60,1,True
792,999,61,1,True
793,999,62,1,True
794,999,63,1,True
795,999,64,1,True
796,999,65,1,True
797,999,66,1,True
798,1000,945,1,True
799,1001,1002,1,True
800,1003,1004,1,True
801,1005,1002,1,True
802,1006,1002,1,True
803,1007,1008,1,True
804,1009,1010,1,True
805,1009,1011,1,True
806,1009,1012,1,True
807,1009,1013,1,True
808,1009,1009,1,True
809,1009,1014,1,True
810,1015,47,1,True
811,1016,1017,1,True
812,1016,1018,1,True
813,1016,1016,1,True
814,1016,1019,1,True
815,1020,1002,1,True
816,1021,1022,1,True
817,1021,1023,1,True
818,1024,1025,1,True
819,1024,1026,1,True
820,1027,1002,1,True
821,1028,1029,1,True
822,1030,1031,1,True
823,1032,1033,1,True
824,1032,1034,1,True
825,1032,1035,1,True
826,1036,1037,1,True
827,1038,1039,1,True
828,1040,1041,2,True
829,1042,1043,1,True
830,1042,1044,1,True
831,1045,540,1,True
832,1046,1047,1,True
833,1048,1049,1,True
834,1050,21,1,True
835,1051,1002,1,True
836,1052,1043,1,True
837,1052,1044,1,True
838,1053,1043,1,True
839,1053,1044,1,True
840,1054,1055,1,True
841,1054,1056,1,True
842,1057,1058,1,True
843,1057,1059,1,True
844,1057,1060,1,True
845,1061,1062,1,True
846,1061,1063,1,True
847,983,1064,1,True
848,1065,617,1,True
849,1066,1067,1,True
850,1068,578,1,True
851,1068,262,1,True
852,1068,579,1,True
853,1068,580,1,True
854,1069,956,1,True
855,1070,1043,1,True
856,1070,1044,1,True
857,1071,1072,3,True
858,1073,1074,1,True
859,1075,21,1,True
860,1076,1002,1,True
861,1077,844,1,True
862,1078,1002,1,True
863,1079,582,1,True
864,1080,956,1,True
865,1081,1043,1,True
866,1081,1044,1,True
867,1082,977,1,True
868,1083,877,1,True
869,1084,1085,1,True
870,1086,1087,1,True
871,1088,1089,1,True
872,1090,237,1,True
873,1091,1002,1,True
874,1092,1043,1,True
875,1092,1044,1,True
876,1093,1094,1,True
877,1095,1096,1,True
878,1097,1098,1,True
879,1099,1085,1,True
880,1100,1087,1,True
881,1101,1102,1,True
882,1103,1002,1,True
883,1104,522,1,True
884,1104,316,1,True
885,1105,1049,1,True
886,1106,1,1,True
887,1107,309,1,True
888,1108,964,1,True
889,1109,1002,1,True
890,443,1110,1,True
891,443,1111,1,True
892,1112,1085,1,True
893,1113,1114,1,True
894,1115,1116,1,True
895,1117,1118,1,True
896,1119,1043,1,True
897,1119,1044,1,True
898,1120,1121,2,True
899,1120,1122,1,True
900,1120,1123,1,True
901,1120,262,1,True
902,1124,956,1,True
903,1125,1126,1,True
904,1127,1128,1,True
905,1129,1130,1,True
906,1131,494,1,True
907,1132,1133,1,True
908,1134,956,1,True
909,1135,1002,1,True
910,1136,1137,1,True
911,1136,1138,1,True
912,1139,1140,1,True
913,1141,1142,1,True
914,1142,1141,1,True
915,1142,1142,4,True
916,1143,237,1,True
917,1144,1043,1,True
918,1144,1044,1,True
919,1145,1142,1,True
920,1146,1147,1,True
921,1146,1148,1,True
922,1149,1150,1,True
923,1151,1152,1,True
924,1151,1153,1,True
925,1154,1155,1,True
926,1156,1142,1,True
927,1067,1067,5,True
928,1157,1158,1,True
929,1157,1159,1,True
930,1157,1160,1,True
931,1161,1043,1,True
932,1161,1044,1,True
933,1162,1163,1,True
934,1162,1162,2,True
935,1164,1165,1,True
936,1164,1142,1,True
937,1166,1167,1,True
938,1166,1168,1,True
939,1166,1169,1,True
940,1166,1170,1,True
941,1166,1171,1,True
942,1166,1172,1,True
943,1166,1173,1,True
944,1174,1175,1,True
945,1174,1176,1,True
946,1174,1177,1,True
947,1158,1157,1,True
948,1158,1158,1,True
949,1158,1159,1,True
950,1158,1160,1,True
951,1178,949,1,True
952,1179,667,1,True
953,1180,1181,1,True
954,1182,1043,1,True
955,1182,1044,1,True
956,1183,1002,1,True
957,1184,1002,1,True
958,1185,582,1,True
959,821,1186,1,True
960,1187,1188,1,True
961,1189,1190,1,True
962,482,718,6,True
963,1191,1192,1,True
964,1193,271,1,True
965,1193,764,2,True
966,1193,1194,1,True
967,1195,1,1,True
968,1196,1140,1,True
969,1197,1198,1,True
970,1199,21,1,True
971,1200,1201,1,True
972,1202,1203,1,True
973,1202,1204,1,True
974,1205,590,1,True
975,1205,591,1,True
976,1206,1207,1,True
977,1206,1208,1,True
978,1206,1209,1,True
979,1142,1156,1,True
980,1210,114,2,True
981,1211,124,1,True
982,1212,1142,1,True
983,1213,1214,1,True
984,1213,1215,1,True
985,1216,1217,1,True
986,1218,1219,1,True
987,1220,1221,1,True
988,1222,1223,1,True
989,1224,1225,1,True
990,1226,676,1,True
991,1226,677,1,True
992,1226,678,1,True
993,1226,679,1,True
994,1227,945,1,True
995,1228,114,4,True
996,1229,1229,1,True
997,1230,611,1,True
998,1142,1212,1,True
999,1231,1232,1,True
1000,1233,1234,1,True
1001,1235,1236,1,True
1002,1235,1237,1,True
1003,1205,1118,1,True
1004,1238,1239,1,True
1005,1238,1165,1,True
1006,1238,1142,1,True
1007,1240,1241,1,True
1008,1240,619,1,True
1009,1242,1243,1,True
1010,1244,1245,1,True
1011,1246,1043,1,True
1012,1246,1044,1,True
1013,1247,1248,1,True
1014,1249,1250,3,True
1015,1249,1251,3,True
1016,1252,1253,1,True
1017,1254,1255,1,True
1018,1256,1257,1,True
1019,1258,1259,1,True
1020,1260,381,4,True
1021,1261,1262,1,True
1022,1142,1263,1,True
1023,1264,1265,1,True
1024,1266,949,1,True
1025,1267,1118,1,True
1026,1268,935,1,True
1027,1268,936,1,True
1028,1269,1002,1,True
1029,1270,1271,1,True
1030,1272,1252,1,True
1031,1272,1253,1,True
1032,1273,1274,1,True
1033,1275,477,1,True
1034,1275,1276,1,True
1035,1277,21,1,True
1036,1278,1043,1,True
1037,1278,1044,1,True
1038,1279,1280,1,True
1039,1279,1281,1,True
1040,1279,1279,1,True
1041,1282,1283,1,True
1042,1284,1285,1,True
1043,1284,1286,1,True
1044,1284,1287,1,True
1045,1288,1289,1,True
1046,1290,1291,1,True
1047,1290,1290,1,True
1048,1292,1293,1,True
1049,1294,1295,1,True
1050,1294,624,1,True
1051,1294,1296,1,True
1052,1297,1298,1,True
1053,1297,1168,1,True
1054,1299,1217,1,True
1055,1300,1301,1,True
1056,1302,1303,1,True
1057,1304,1305,1,True
1058,1306,1043,1,True
1059,1306,1044,1,True
1060,1307,1308,1,True
1061,1309,1310,1,True
1062,1309,1311,1,True
1063,1312,1313,1,True
1064,1312,1314,1,True
1065,1312,1312,1,True
1066,1315,1316,1,True
1067,1315,1317,1,True
1068,1315,1318,1,True
1069,1315,1319,1,True
1070,1315,1320,1,True
1071,1315,570,1,True
1072,1315,1321,1,True
1073,1315,1322,1,True
1074,1315,1323,1,True
1075,1324,956,1,True
1076,1325,536,1,True
1077,1326,1043,1,True
1078,1326,1044,1,True
1079,1327,611,1,True
1080,1328,1329,1,True
1081,1330,1331,1,True
1082,1332,617,1,True
1083,526,1333,1,True
1084,526,1334,1,True
1085,526,1172,1,True
1086,526,956,1,True
1087,1335,1336,1,True
1088,1337,1338,1,True
