id,label,n_tweets,n_mentions
1018,europeanaeu,0,1
1019,lansmuseum,0,1
1020,lancesological,1,0
1021,smrsault,2,0
1022,mollitudo,0,1
1023,fsgbooks,0,1
1024,mvddm,2,0
1025,mustanski,0,2
1026,gwpublichealth,0,1
1027,xxbloodlinex,1,0
1028,patatahvoladora,1,0
1029,themndrncloud,0,1
1030,i_am_king_zoe,1,1
1031,durbanpride,0,1
1032,lgbtfunders,3,0
1033,jacewoodrum,0,2
1034,one_colorado,0,1
1035,cohealthfdn,7,2
1036,sciurush,1,0
1037,jimmynocontext,0,2
1038,shichohsei,1,0
1039,juniebug_art,0,1
1040,bcrwtweets,2,0
1041,ntanyalee,0,2
1042,jasonm992,5,0
1043,howtogetawayabc,0,48
1044,conradricamora,0,48
1045,vedia_lupae,1,0
1046,monetviser,1,0
1047,trianglart,0,1
1048,trans_nigga,1,1
1049,minouplantemoji,0,2
1050,fyreflywhispr,1,0
1051,simplyytashh,1,0
1052,gleek_1897,2,0
1053,skainwxnderland,2,0
1054,fredericvocoret,2,0
1055,taramcdonaldtv,0,1
1056,zahoofficiel,0,1
1057,daddyayomide_,4,0
1058,edafeokporo,0,1
1059,nele_anju,0,1
1060,naijalgbtpride,0,1
1061,independantdemo,2,0
1062,mercedesiman,0,1
1063,vanessavanjie,0,2
1064,le_sansnom,0,1
1065,stelee,1,0
1066,conyrogri,1,0
1067,armandoaraiza,7,9
1068,accexeter,4,0
1069,fluffy925,1,0
1070,violadavisbitch,2,0
1071,alternatfacts,3,0
1072,sapphicking69,0,3
1073,jonhycolon,1,0
1074,alexwaffle0314,1,1
1075,michaelainthere,1,0
1076,aurorar2000,1,0
1077,inbalabramovitz,1,0
1078,harmoboyzer,1,0
1079,manuaca1,1,0
